platform,title,price,raw_price,location,rating,url,description
airbnb,1 Bed Studio with KLCC View/Rooftop Pool - Netflix,118.00,$118,"Kuala Lumpur, Malaysia",4.91,https://www.airbnb.com/rooms/30302225?search_mode=regular_search&adults=1&check_in=2026-05-08&check_out=2026-05-10&children=0&infants=0&pets=0&photo_id=940527737&source_impression_id=p3_1771475252_P3ku7pPelgR1Ki4O&previous_page_section_name=1000&federated_search_id=89bf91e8-1013-47cf-a34d-ea1f589b3404,"Close to Kuala Lumpur heartbeat and the majestic KLCC Petronas Twin Tower, Shopping Paradise of Bukit Bintang and food and entertainment outlets in the Golden Triangle. All rooms are overlooking the m..."
airbnb,The Colony Facing KLCC Pool view TRX Merdeka 118,71.00,$71,"Kuala Lumpur, Malaysia",4.82,https://www.airbnb.com/rooms/1005022077370914380?search_mode=regular_search&adults=1&check_in=2026-10-02&check_out=2026-10-04&children=0&infants=0&pets=0&photo_id=1762791240&source_impression_id=p3_1771475252_P3fI4KOsHV5tA5bK&previous_page_section_name=1000&federated_search_id=89bf91e8-1013-47cf-a34d-ea1f589b3404,"Our unit facing directly to KLCC View, where you can enjoy Kuala Lumpur View without any blockage. It is located beside Quill City Mall, where a monorail station (Medan Tuanku) just in front of the ma..."
airbnb,King Room | 5 min walk TRX MRT,70.00,$70,"Kuala Lumpur, Malaysia",4.90,https://www.airbnb.com/rooms/1436033631734042885?search_mode=regular_search&adults=1&check_in=2026-04-10&check_out=2026-04-12&children=0&infants=0&pets=0&source_impression_id=p3_1771475256_P3pRyX43y2olX3I3&previous_page_section_name=1000&federated_search_id=a5d1e314-f6ef-4114-94d6-1dd6cada87fa,"🛏️Relax in a clean comfy King Bed with Own Bathroom (No Share, inside the room) * 3 ~5min walking to TRX mall / Mrt * 1 km to Pavilion Bukit Bintang * 1 km to Trac and surround with many food :) ..."
airbnb,PJ Romantic Couple Room @ Damansara Mossaz,72.00,$72,"Petaling Jaya, Malaysia",5.00,https://www.airbnb.com/rooms/1555480130588313471?search_mode=regular_search&adults=1&check_in=2026-03-06&check_out=2026-03-08&children=0&infants=0&pets=0&source_impression_id=p3_1771475256_P3UplK2E1g6hkzC5&previous_page_section_name=1000&federated_search_id=a5d1e314-f6ef-4114-94d6-1dd6cada87fa,What You’ll Love: • Romantic red-themed interior • Round bed with cozy bedding • LED ambient mood lighting • Unique lounge furniture for couples • Large scenic window with greenery view �...
airbnb,Pleasant flat near Airport Link Station,80.00,$80,"Khet Suan Luang, Thailand",4.90,https://www.airbnb.com/rooms/1094739969933754698?search_mode=regular_search&adults=1&check_in=2026-03-27&check_out=2026-03-29&children=0&infants=0&pets=0&photo_id=1844773222&source_impression_id=p3_1771475342_P30ZmfukPqidj5Pi&previous_page_section_name=1000&federated_search_id=0c700b7e-280a-4ba0-9a6f-a39b7e4647d3,"Kick back and relax in this calm, stylish space where you can come straight from Suvarnabhumi Airport and easy access to the city centre - 7 mins walk to the sky train (Airport Link Ramkhamhaeng stati..."
airbnb,2C Affordable room in CBD 7 mins walk to MRT Rama9,41.00,$41,"Khet Huai Khwang, Thailand",4.96,https://www.airbnb.com/rooms/1245878818590732072?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2026-03-27&check_out=2026-03-29&children=0&infants=0&pets=0&photo_id=2368365133&source_impression_id=p3_1771475341_P3whjyuibrLZDJnW&previous_page_section_name=1000&federated_search_id=0c700b7e-280a-4ba0-9a6f-a39b7e4647d3,
airbnb,ClubHouse124 Private Room+Wifi near BKK AirportS16,29.00,$29,"Khet Saphan Sung, Thailand",4.91,https://www.airbnb.com/rooms/1283035925695977033?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2026-03-13&check_out=2026-03-15&children=0&infants=0&pets=0&photo_id=2024167679&source_impression_id=p3_1771475345_P36x9AAezzUidIPZ&previous_page_section_name=1000&federated_search_id=ba8100ef-4554-4d30-a373-2c1810be8b45,✅️ Free coffee and drinking water everyday ✅️ Free Hi-Wifi &Working space ✅️ 1 Private room for 1 guest ✅️ Safety with key & key card ✅️ Free instant noodle and drinking water upon...
airbnb,Market center one bedroom B1D/close to subway/high-rise city view/Siam business district/free pick-up/outdoor pool/fitness/sky bar/four nights pick-up,135.00,$135,"Watthana, Thailand",4.93,https://www.airbnb.com/rooms/1517423716561808913?search_mode=regular_search&adults=1&check_in=2026-03-27&check_out=2026-03-29&children=0&infants=0&pets=0&photo_id=2347550391&source_impression_id=p3_1771475346_P3Chq2LYejykdBPa&previous_page_section_name=1000&federated_search_id=ba8100ef-4554-4d30-a373-2c1810be8b45,"This special home is a brand new concept apartment designed by a designer. The whole house is located in the heart of Bangkok and close to everything. Includes 1 bedroom, living room, dining room, kit..."
airbnb,"Clara House Rm #08(2F), Seoul Stn. - 1 single",64.00,$64,South Korea,4.93,https://www.airbnb.com/rooms/955744892195764611?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2026-06-26&check_out=2026-06-28&children=0&infants=0&pets=0&photo_id=1780585702&source_impression_id=p3_1771475391_P3RvQTxCRt__YqoF&previous_page_section_name=1000&federated_search_id=799cf594-8870-4db3-af97-3c5af3cf120f,"Enjoy a comfortable stay in a quiet accommodation right in the heart of the city * This is a guest room in a two-story house with a shared bathroom and shared kitchen. (A total of 10 guest rooms, maxi..."
airbnb,"a place where one can rest quietly
Yeonnam-dong, a quiet resting place",73.00,$73,"Mapo-gu, South Korea",4.74,https://www.airbnb.com/rooms/42366099?search_mode=regular_search&adults=1&check_in=2026-06-05&check_out=2026-06-07&children=0&infants=0&pets=0&photo_id=970642832&source_impression_id=p3_1771475392_P3B2OURgjaPkJu4Z&previous_page_section_name=1000&federated_search_id=799cf594-8870-4db3-af97-3c5af3cf120f,"For those who want to travel quietly and cheaply alone, it's the perfect house. Although it's close to downtown Seoul, the accommodation is located in a quiet residential area, so you can relax quietl..."
